timestamp,gpu_index,power_watts,temp_c,gpu_util,vram_used_mb,sm_clock_mhz,mem_clock_mhz,pcie_gen,ecc_corrected_total,ecc_uncorrectable_total
2026-09-20T00:36:47.032158+00:00,0,78.57,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:47.032158+00:00,1,78.14,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:47.032158+00:00,2,77.78,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:47.032158+00:00,3,78.52,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:48.110880+00:00,0,78.61,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:48.110880+00:00,1,78.14,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:48.110880+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:48.110880+00:00,3,78.5,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:49.186998+00:00,0,78.61,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:49.186998+00:00,1,78.14,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:49.186998+00:00,2,77.77,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:49.186998+00:00,3,78.5,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:50.265250+00:00,0,78.63,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:50.265250+00:00,1,78.06,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:50.265250+00:00,2,77.79,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:50.265250+00:00,3,78.54,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:51.340502+00:00,0,78.62,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:51.340502+00:00,1,78.08,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:51.340502+00:00,2,77.88,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:51.340502+00:00,3,78.62,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:52.417298+00:00,0,78.63,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:52.417298+00:00,1,78.34,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:52.417298+00:00,2,77.93,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:52.417298+00:00,3,78.51,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:53.491897+00:00,0,78.61,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:53.491897+00:00,1,78.14,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:53.491897+00:00,2,77.86,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:53.491897+00:00,3,78.53,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:54.566956+00:00,0,78.67,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:54.566956+00:00,1,78.15,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:54.566956+00:00,2,77.88,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:54.566956+00:00,3,78.5,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:55.645243+00:00,0,78.63,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:55.645243+00:00,1,78.23,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:55.645243+00:00,2,77.84,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:55.645243+00:00,3,78.56,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:56.722748+00:00,0,78.87,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:56.722748+00:00,1,78.1,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:56.722748+00:00,2,77.93,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:56.722748+00:00,3,78.47,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:57.798536+00:00,0,78.72,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:57.798536+00:00,1,78.18,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:57.798536+00:00,2,77.83,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:57.798536+00:00,3,78.51,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:58.871932+00:00,0,78.85,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:58.871932+00:00,1,78.18,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:58.871932+00:00,2,77.89,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:58.871932+00:00,3,78.56,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:59.945425+00:00,0,78.81,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:59.945425+00:00,1,78.19,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:59.945425+00:00,2,77.87,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:59.945425+00:00,3,78.51,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:01.020209+00:00,0,78.78,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:01.020209+00:00,1,78.24,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:01.020209+00:00,2,77.93,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:01.020209+00:00,3,78.55,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:02.093318+00:00,0,78.76,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:02.093318+00:00,1,78.22,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:02.093318+00:00,2,77.86,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:02.093318+00:00,3,78.59,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:03.170214+00:00,0,78.73,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:03.170214+00:00,1,78.23,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:03.170214+00:00,2,77.95,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:03.170214+00:00,3,78.48,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:04.243934+00:00,0,78.76,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:04.243934+00:00,1,78.21,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:04.243934+00:00,2,77.89,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:04.243934+00:00,3,78.42,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:05.318974+00:00,0,78.75,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:05.318974+00:00,1,78.26,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:05.318974+00:00,2,77.86,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:05.318974+00:00,3,78.44,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:06.392071+00:00,0,78.81,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:06.392071+00:00,1,78.26,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:06.392071+00:00,2,77.9,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:06.392071+00:00,3,78.46,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:07.464911+00:00,0,78.86,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:07.464911+00:00,1,78.29,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:07.464911+00:00,2,77.91,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:07.464911+00:00,3,78.44,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:08.546641+00:00,0,78.9,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:08.546641+00:00,1,78.29,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:08.546641+00:00,2,77.96,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:08.546641+00:00,3,78.42,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:09.619633+00:00,0,78.92,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:09.619633+00:00,1,78.29,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:09.619633+00:00,2,77.95,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:09.619633+00:00,3,78.49,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:10.693109+00:00,0,78.91,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:10.693109+00:00,1,78.32,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:10.693109+00:00,2,77.99,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:10.693109+00:00,3,78.51,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:11.768446+00:00,0,78.94,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:11.768446+00:00,1,78.31,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:11.768446+00:00,2,78.0,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:11.768446+00:00,3,78.5,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:12.842307+00:00,0,78.94,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:12.842307+00:00,1,78.36,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:12.842307+00:00,2,78.0,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:12.842307+00:00,3,78.48,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:13.915682+00:00,0,78.91,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:13.915682+00:00,1,78.35,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:13.915682+00:00,2,78.01,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:13.915682+00:00,3,78.55,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:14.988280+00:00,0,78.94,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:14.988280+00:00,1,78.38,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:14.988280+00:00,2,78.04,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:14.988280+00:00,3,78.63,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:16.061202+00:00,0,78.93,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:16.061202+00:00,1,78.36,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:16.061202+00:00,2,78.04,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:16.061202+00:00,3,78.63,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:17.134977+00:00,0,78.98,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:17.134977+00:00,1,78.39,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:17.134977+00:00,2,78.05,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:17.134977+00:00,3,78.63,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:18.209536+00:00,0,78.95,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:18.209536+00:00,1,78.36,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:18.209536+00:00,2,78.05,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:18.209536+00:00,3,78.56,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:19.282934+00:00,0,78.93,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:19.282934+00:00,1,78.37,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:19.282934+00:00,2,78.04,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:19.282934+00:00,3,78.61,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:20.356584+00:00,0,78.94,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:20.356584+00:00,1,78.34,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:20.356584+00:00,2,78.08,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:20.356584+00:00,3,78.61,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:21.431939+00:00,0,78.91,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:21.431939+00:00,1,78.36,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:21.431939+00:00,2,78.08,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:21.431939+00:00,3,78.61,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:22.557055+00:00,0,78.89,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:22.557055+00:00,1,78.38,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:22.557055+00:00,2,78.04,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:22.557055+00:00,3,78.58,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:23.630886+00:00,0,78.89,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:23.630886+00:00,1,78.38,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:23.630886+00:00,2,78.07,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:23.630886+00:00,3,78.64,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:24.704197+00:00,0,78.89,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:24.704197+00:00,1,78.38,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:24.704197+00:00,2,78.07,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:24.704197+00:00,3,78.6,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:25.778587+00:00,0,78.85,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:25.778587+00:00,1,78.35,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:25.778587+00:00,2,78.06,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:25.778587+00:00,3,78.62,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:26.858811+00:00,0,78.86,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:26.858811+00:00,1,78.36,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:26.858811+00:00,2,78.05,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:26.858811+00:00,3,78.57,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:27.937666+00:00,0,78.82,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:27.937666+00:00,1,78.31,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:27.937666+00:00,2,78.06,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:27.937666+00:00,3,78.56,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:29.012390+00:00,0,78.83,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:29.012390+00:00,1,78.34,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:29.012390+00:00,2,78.06,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:29.012390+00:00,3,78.49,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:30.088098+00:00,0,78.79,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:30.088098+00:00,1,78.31,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:30.088098+00:00,2,78.06,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:30.088098+00:00,3,78.45,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:31.165280+00:00,0,78.8,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:31.165280+00:00,1,78.34,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:31.165280+00:00,2,78.08,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:31.165280+00:00,3,78.59,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:32.240741+00:00,0,78.8,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:32.240741+00:00,1,78.31,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:32.240741+00:00,2,78.04,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:32.240741+00:00,3,78.62,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:33.322825+00:00,0,78.86,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:33.322825+00:00,1,78.34,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:33.322825+00:00,2,78.05,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:33.322825+00:00,3,78.61,36.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:34.397458+00:00,0,78.83,33.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:37:34.397458+00:00,1,78.26,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
